step,phase,env0_arm_dev_from_default_rad,env0_mean_leg_vel_rad_s,env0_base_speed_m_s
0,0,4.67890095023904e-05,0.2715685963630676,0.030485251918435097
1,0,0.00012090057862224057,0.4746178090572357,0.04978460446000099
2,0,0.0003893281682394445,0.53623366355896,0.10312630981206894
3,0,0.0007825022912584245,0.6240633726119995,0.060328297317028046
4,0,0.001235478208400309,0.6045569777488708,0.04932941868901253
5,0,0.0018302705138921738,0.6837365031242371,0.07634581625461578
6,0,0.0024358737282454967,0.7142127752304077,0.07144273072481155
7,0,0.003060359973460436,0.7265908122062683,0.065531425178051
8,0,0.0036909047048538923,0.7474555969238281,0.08181355148553848
9,0,0.004319255705922842,0.6521751880645752,0.08779468387365341
10,0,0.0049195135943591595,0.6789781451225281,0.08723623305559158
11,0,0.005486054811626673,0.6869375109672546,0.08735519647598267
12,0,0.0060186064802110195,0.6470524668693542,0.10011240839958191
13,0,0.006510795559734106,0.5336453318595886,0.11110223829746246
14,0,0.006961811799556017,0.39165210723876953,0.12804071605205536
15,0,0.00737577211111784,0.34982722997665405,0.1450634002685547
16,0,0.007751189172267914,0.4877701699733734,0.16172057390213013
17,0,0.008081499487161636,0.6397969722747803,0.18186624348163605
18,0,0.00836387649178505,0.7224361300468445,0.20833459496498108
19,0,0.008597548119723797,0.8193680644035339,0.22635896503925323
20,0,0.008780939504504204,0.8950052261352539,0.2382635772228241
21,0,0.008992670103907585,0.8406410217285156,0.2147527039051056
22,0,0.009211620315909386,0.7944738864898682,0.21239043772220612
23,0,0.009371687658131123,0.8658363223075867,0.19827449321746826
24,0,0.009491990320384502,0.8123129606246948,0.18208740651607513
25,0,0.009565893560647964,0.7555543780326843,0.15121635794639587
26,0,0.00961310975253582,0.7155213356018066,0.10949461907148361
27,0,0.009650453925132751,0.6618651747703552,0.0726562887430191
28,0,0.009687971323728561,0.6202698945999146,0.04893769696354866
29,0,0.009725155308842659,0.5495539307594299,0.04199723154306412
30,0,0.009755654260516167,0.48772740364074707,0.0482543408870697
31,0,0.009774155914783478,0.384307324886322,0.05525970458984375
32,0,0.009770653210580349,0.27538084983825684,0.058425553143024445
33,0,0.009754147380590439,0.24919740855693817,0.07186058908700943
34,0,0.009743954986333847,0.2758778929710388,0.0969352126121521
35,0,0.009740312583744526,0.33940550684928894,0.12379033118486404
36,0,0.009739717468619347,0.39674127101898193,0.1458984762430191
37,0,0.009740252047777176,0.4384663701057434,0.17104661464691162
38,0,0.009730622172355652,0.49313268065452576,0.19293995201587677
39,0,0.009701067581772804,0.5850464701652527,0.21864870190620422
40,0,0.009632853791117668,0.6897596120834351,0.24011915922164917
41,0,0.009527858346700668,0.7892529964447021,0.2698532044887543
42,0,0.00947683583945036,0.674951434135437,0.24777421355247498
43,0,0.00942723173648119,0.7091902494430542,0.25549307465553284
44,0,0.00944429449737072,0.7415223121643066,0.25742629170417786
45,0,0.009444773197174072,0.730940580368042,0.2263367623090744
46,0,0.009405896067619324,0.7346087694168091,0.2017066329717636
47,0,0.00928825419396162,0.7677531242370605,0.18720319867134094
48,0,0.009147537872195244,0.6679352521896362,0.15818263590335846
49,0,0.009278440847992897,0.5213616490364075,0.13086210191249847
50,0,0.009382082149386406,0.4229958653450012,0.10753771662712097
51,0,0.009440172463655472,0.43293270468711853,0.09351184219121933
52,0,0.009450582787394524,0.35503554344177246,0.09062296152114868
53,0,0.009451272897422314,0.3438517451286316,0.08797170966863632
54,0,0.00944872573018074,0.3557780385017395,0.08370678126811981
55,0,0.009458127431571484,0.3503202795982361,0.08422485738992691
56,0,0.009469347074627876,0.38726359605789185,0.08022172749042511
57,0,0.00945292692631483,0.3571417033672333,0.08467558026313782
58,0,0.009424666874110699,0.378191202878952,0.08361542969942093
59,0,0.009359597228467464,0.45823317766189575,0.08963104337453842
60,0,0.009266072884202003,0.5077805519104004,0.10030223429203033
